date,geo,Asphalt/concrete work,Driveway sealing,Gutter cleaning,Junk removal,Pressure washing,Soft washing,Tree service,Window cleaning
2021-01-03,KS,0.0,0.0,0.0,0.0,48.0,0.0,28.0,0.0
2021-01-03,KY,0.0,0.0,0.0,38.0,10.0,0.0,18.0,0.0
2021-01-03,LA,0.0,0.0,0.0,0.0,30.0,0.0,20.0,0.0
2021-01-03,MA,0.0,0.0,0.0,32.0,0.0,100.0,34.0,0.0
2021-01-03,MD,0.0,0.0,0.0,20.0,0.0,0.0,37.0,0.0
2021-01-03,ME,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0
2021-01-03,MI,0.0,0.0,0.0,23.0,0.0,0.0,27.0,0.0
2021-01-03,MN,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
2021-01-03,MO,0.0,0.0,0.0,37.0,0.0,0.0,34.0,0.0
2021-01-03,MS,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0
2021-01-03,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03,NC,0.0,0.0,37.0,24.0,25.0,0.0,46.0,24.0
2021-01-03,ND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03,NE,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
2021-01-03,NH,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0
2021-01-03,NJ,0.0,0.0,19.0,30.0,0.0,0.0,47.0,14.0
2021-01-03,NM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03,NV,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0
2021-01-03,NY,0.0,13.0,46.0,24.0,23.0,0.0,27.0,34.0
2021-01-03,OH,0.0,0.0,14.0,41.0,16.0,0.0,29.0,25.0
2021-01-03,OK,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0
2021-01-03,OR,0.0,0.0,35.0,0.0,0.0,0.0,31.0,26.0
2021-01-03,PA,0.0,0.0,12.0,28.0,22.0,0.0,36.0,26.0
2021-01-03,RI,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0
2021-01-03,SC,0.0,0.0,0.0,0.0,26.0,0.0,21.0,0.0
2021-01-03,SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03,TN,0.0,0.0,0.0,0.0,27.0,0.0,41.0,0.0
2021-01-03,TX,0.0,0.0,26.0,31.0,30.0,0.0,45.0,34.0
2021-01-03,UT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03,VA,0.0,0.0,30.0,16.0,23.0,0.0,58.0,39.0
2021-01-03,VT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03,WA,0.0,0.0,27.0,34.0,29.0,0.0,49.0,32.0
2021-01-03,WI,0.0,0.0,0.0,26.0,0.0,0.0,16.0,0.0
2021-01-03,WV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03,WY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-10,AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-10,AL,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0
2021-01-10,AR,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0
