GEO_ID,Geography,Homeownership%,MedianIncome,LargeHH%,OldHouse%
860Z200US01515,ZCTA5 01515,0.851,76382.0,0.306,0.597
860Z200US01516,ZCTA5 01516,0.844,147859.0,0.257,0.608
860Z200US01520,ZCTA5 01520,0.829,147582.0,0.386,0.621
860Z200US01521,ZCTA5 01521,0.981,86806.0,0.488,0.526
860Z200US01522,ZCTA5 01522,0.697,118824.0,0.382,0.601
860Z200US01523,ZCTA5 01523,0.829,130444.0,0.4,0.616
860Z200US01524,ZCTA5 01524,0.837,93191.0,0.437,0.585
860Z200US01527,ZCTA5 01527,0.639,116000.0,0.419,0.551
860Z200US01529,ZCTA5 01529,0.713,115789.0,0.264,0.652
860Z200US01531,ZCTA5 01531,0.924,99375.0,0.437,0.665
860Z200US01532,ZCTA5 01532,0.782,174358.0,0.314,0.69
860Z200US01534,ZCTA5 01534,0.704,134539.0,0.422,0.724
860Z200US01535,ZCTA5 01535,0.607,81010.0,0.43,0.56
860Z200US01540,ZCTA5 01540,0.764,118389.0,0.436,0.622
860Z200US01541,ZCTA5 01541,0.942,150577.0,0.277,0.733
860Z200US01542,ZCTA5 01542,0.775,107674.0,0.512,0.644
860Z200US01543,ZCTA5 01543,0.817,155504.0,0.336,0.678
860Z200US01545,ZCTA5 01545,0.658,136225.0,0.364,0.584
860Z200US01564,ZCTA5 01564,0.835,136027.0,0.448,0.703
860Z200US01568,ZCTA5 01568,0.835,161429.0,0.347,0.777
860Z200US01569,ZCTA5 01569,0.614,122458.0,0.377,0.657
860Z200US01571,ZCTA5 01571,0.719,85179.0,0.482,0.564
860Z200US01583,ZCTA5 01583,0.721,100427.0,0.45,0.567
860Z200US01590,ZCTA5 01590,0.856,155938.0,0.298,0.647
860Z200US01612,ZCTA5 01612,0.881,133750.0,0.334,0.753
860Z200US01701,ZCTA5 01701,0.773,127000.0,0.368,0.645
860Z200US01719,ZCTA5 01719,0.666,151000.0,0.368,0.632
860Z200US01720,ZCTA5 01720,0.657,154101.0,0.371,0.651
860Z200US01730,ZCTA5 01730,0.638,158286.0,0.416,0.645
860Z200US01742,ZCTA5 01742,0.706,211435.0,0.345,0.737
860Z200US01745,ZCTA5 01745,0.816,180833.0,0.324,0.759
860Z200US01746,ZCTA5 01746,0.781,154684.0,0.352,0.71
860Z200US01748,ZCTA5 01748,0.708,204418.0,0.276,0.703
860Z200US01754,ZCTA5 01754,0.631,119549.0,0.466,0.533
860Z200US01756,ZCTA5 01756,0.907,129837.0,0.292,0.755
860Z200US01773,ZCTA5 01773,0.689,197292.0,0.454,0.672
860Z200US01775,ZCTA5 01775,0.808,177862.0,0.345,0.713
860Z200US01778,ZCTA5 01778,0.798,219531.0,0.326,0.771
860Z200US01803,ZCTA5 01803,0.703,142421.0,0.366,0.573
860Z200US01810,ZCTA5 01810,0.689,167591.0,0.351,0.668
860Z200US01821,ZCTA5 01821,0.743,142564.0,0.322,0.615
860Z200US01824,ZCTA5 01824,0.722,141337.0,0.34,0.611
860Z200US01826,ZCTA5 01826,0.688,111451.0,0.407,0.635
860Z200US01833,ZCTA5 01833,0.82,153565.0,0.298,0.622
860Z200US01834,ZCTA5 01834,0.763,135521.0,0.365,0.775
860Z200US01860,ZCTA5 01860,0.633,116477.0,0.413,0.546
860Z200US01864,ZCTA5 01864,0.762,150820.0,0.359,0.687
860Z200US01867,ZCTA5 01867,0.715,163407.0,0.358,0.685
860Z200US01876,ZCTA5 01876,0.685,126795.0,0.396,0.606
860Z200US01879,ZCTA5 01879,0.685,144167.0,0.391,0.608
860Z200US01886,ZCTA5 01886,0.791,181523.0,0.298,0.703
860Z200US01887,ZCTA5 01887,0.836,161473.0,0.286,0.692
860Z200US01890,ZCTA5 01890,0.709,218176.0,0.349,0.74
860Z200US01904,ZCTA5 01904,0.746,100597.0,0.412,0.515
860Z200US01906,ZCTA5 01906,0.656,100819.0,0.366,0.578
860Z200US01908,ZCTA5 01908,0.762,111004.0,0.476,0.579
860Z200US01929,ZCTA5 01929,0.714,151509.0,0.349,0.72
860Z200US01938,ZCTA5 01938,0.609,124405.0,0.449,0.525
860Z200US01940,ZCTA5 01940,0.77,171044.0,0.377,0.72
860Z200US01944,ZCTA5 01944,0.699,197875.0,0.384,0.728
860Z200US01945,ZCTA5 01945,0.752,164325.0,0.385,0.699
860Z200US01949,ZCTA5 01949,0.717,171458.0,0.279,0.598
860Z200US01951,ZCTA5 01951,0.804,175779.0,0.368,0.657
860Z200US01969,ZCTA5 01969,0.724,117177.0,0.378,0.729
860Z200US01982,ZCTA5 01982,0.817,127137.0,0.32,0.673
860Z200US01983,ZCTA5 01983,0.851,176698.0,0.276,0.815
860Z200US01984,ZCTA5 01984,0.812,187652.0,0.302,0.751
860Z200US02019,ZCTA5 02019,0.753,120966.0,0.348,0.629
860Z200US02025,ZCTA5 02025,0.837,187060.0,0.354,0.732
860Z200US02026,ZCTA5 02026,0.647,124375.0,0.491,0.522
860Z200US02035,ZCTA5 02035,0.622,108559.0,0.473,0.545
860Z200US02038,ZCTA5 02038,0.629,142788.0,0.374,0.586
860Z200US02043,ZCTA5 02043,0.68,181017.0,0.383,0.675
860Z200US02045,ZCTA5 02045,0.73,127112.0,0.515,0.544
860Z200US02047,ZCTA5 02047,1.0,151000.0,0.734,0.557
860Z200US02050,ZCTA5 02050,0.82,125436.0,0.377,0.602
860Z200US02052,ZCTA5 02052,0.831,214801.0,0.313,0.805
860Z200US02053,ZCTA5 02053,0.829,174357.0,0.298,0.739
860Z200US02054,ZCTA5 02054,0.674,149021.0,0.416,0.651
860Z200US02061,ZCTA5 02061,0.898,182637.0,0.304,0.75
860Z200US02066,ZCTA5 02066,0.839,131889.0,0.431,0.749
860Z200US02067,ZCTA5 02067,0.816,183724.0,0.264,0.696
860Z200US02072,ZCTA5 02072,0.651,104164.0,0.406,0.588
860Z200US02081,ZCTA5 02081,0.698,150233.0,0.399,0.65
860Z200US02090,ZCTA5 02090,0.779,205000.0,0.33,0.704
860Z200US02093,ZCTA5 02093,0.784,147930.0,0.395,0.702
860Z200US02184,ZCTA5 02184,0.645,125305.0,0.451,0.556
860Z200US02186,ZCTA5 02186,0.75,177222.0,0.347,0.702
860Z200US02302,ZCTA5 02302,0.638,87560.0,0.529,0.519
860Z200US02322,ZCTA5 02322,0.634,129487.0,0.625,0.624
860Z200US02324,ZCTA5 02324,0.643,112445.0,0.387,0.583
860Z200US02330,ZCTA5 02330,0.727,78955.0,0.431,0.61
860Z200US02332,ZCTA5 02332,0.831,171471.0,0.365,0.701
860Z200US02333,ZCTA5 02333,0.821,128679.0,0.374,0.665
860Z200US02338,ZCTA5 02338,0.71,106851.0,0.412,0.542
860Z200US02339,ZCTA5 02339,0.838,174821.0,0.315,0.776
860Z200US02341,ZCTA5 02341,0.785,112457.0,0.382,0.627
860Z200US02343,ZCTA5 02343,0.825,107198.0,0.519,0.518
860Z200US02346,ZCTA5 02346,0.708,91914.0,0.459,0.529
860Z200US02347,ZCTA5 02347,0.853,126182.0,0.295,0.633
860Z200US02350,ZCTA5 02350,1.0,86023.0,0.279,0.654
860Z200US02351,ZCTA5 02351,0.619,119787.0,0.413,0.548
860Z200US02356,ZCTA5 02356,0.69,124719.0,0.376,0.656
860Z200US02359,ZCTA5 02359,0.815,141332.0,0.35,0.685
860Z200US02360,ZCTA5 02360,0.677,111975.0,0.427,0.533
860Z200US02364,ZCTA5 02364,0.778,115863.0,0.482,0.596
860Z200US02368,ZCTA5 02368,0.613,103321.0,0.579,0.518
860Z200US02379,ZCTA5 02379,0.781,124483.0,0.332,0.608
860Z200US02420,ZCTA5 02420,0.791,233068.0,0.27,0.759
860Z200US02421,ZCTA5 02421,0.686,212843.0,0.324,0.676
860Z200US02459,ZCTA5 02459,0.76,214941.0,0.257,0.773
860Z200US02461,ZCTA5 02461,0.687,207292.0,0.304,0.71
860Z200US02462,ZCTA5 02462,0.779,210682.0,0.426,0.698
860Z200US02465,ZCTA5 02465,0.607,174518.0,0.359,0.687
860Z200US02482,ZCTA5 02482,0.747,240069.0,0.378,0.748
